"x";"y";"zTopo";"from_SecondarySeal";"to_SecondarySeal";"thickness_SecondarySeal";"from_SecondaryReservoir";"to_SecondaryReservoir";"thickness_SecondaryReservoir";"from_Seal";"to_Seal";"thickness_Seal";"from_Reservoir";"to_Reservoir";"thickness_Reservoir";"from_NonReservoirDeep";"to_NonReservoirDeep";"thickness_NonReservoirDeep";
20;1980;-1;-1;-1;0;-1;-1;0;-1;-427.613;426.613;-427.613;-691.287;263.674;-691.287;-2000;1308.71;
60;1980;-1;-1;-1;0;-1;-1;0;-1;-455.679;454.679;-455.679;-721.218;265.539;-721.218;-2000;1278.78;
100;1980;-1;-1;-1;0;-1;-1;0;-1;-485.653;484.653;-485.653;-752.244;266.591;-752.244;-2000;1247.76;
140;1980;-1;-1;-1;0;-1;-1;0;-1;-517.386;516.386;-517.386;-784.037;266.651;-784.037;-2000;1215.96;
180;1980;-1;-1;-1;0;-1;-1;0;-1;-550.683;549.683;-550.683;-816.233;265.551;-816.233;-2000;1183.77;
220;1980;-1;-1;-1;0;-1;-15.6159;14.6159;-15.6159;-585.272;569.656;-585.272;-848.474;263.202;-848.474;-2000;1151.53;
260;1980;-1;-1;-1;0;-1;-40.4015;39.4015;-40.4015;-620.842;580.441;-620.842;-880.412;259.569;-880.412;-2000;1119.59;
300;1980;-1;-1;-1;0;-1;-66.1857;65.1857;-66.1857;-657.02;590.834;-657.02;-911.708;254.687;-911.708;-2000;1088.29;
340;1980;-1;-1;-17.5375;16.5375;-17.5375;-92.7978;75.2602;-92.7978;-693.389;600.592;-693.389;-942.058;248.669;-942.058;-2000;1057.94;
380;1980;-1;-1;-43.745;42.745;-43.745;-120.032;76.2866;-120.032;-729.504;609.473;-729.504;-971.208;241.703;-971.208;-2000;1028.79;
420;1980;-1;-1;-70.423;69.423;-70.423;-147.646;77.2232;-147.646;-764.909;617.263;-764.909;-998.955;234.046;-998.955;-2000;1001.05;
460;1980;-1;-1;-97.3355;96.3355;-97.3355;-175.368;78.0327;-175.368;-799.163;623.795;-799.163;-1025.14;225.972;-1025.14;-2000;974.865;
500;1980;-1;-1;-124.222;123.222;-124.222;-202.899;78.6766;-202.899;-831.787;628.888;-831.787;-1049.7;217.913;-1049.7;-2000;950.3;
540;1980;-1;-1;-150.807;149.807;-150.807;-229.93;79.1234;-229.93;-862.644;632.714;-862.644;-1072.6;209.96;-1072.6;-2000;927.396;
580;1980;-1;-1;-176.807;175.807;-176.807;-256.139;79.3323;-256.139;-891.238;635.099;-891.238;-1093.86;202.623;-1093.86;-2000;906.139;
620;1980;-1;-1;-201.95;200.95;-201.95;-281.219;79.2695;-281.219;-917.398;636.178;-917.398;-1113.55;196.149;-1113.55;-2000;886.453;
660;1980;-1;-1;-225.99;224.99;-225.99;-304.894;78.9042;-304.894;-940.948;636.053;-940.948;-1131.81;190.859;-1131.81;-2000;868.194;
700;1980;-1;-1;-248.716;247.716;-248.716;-326.942;78.2261;-326.942;-961.765;634.823;-961.765;-1148.85;187.089;-1148.85;-2000;851.146;
740;1980;-1;-1;-269.972;268.972;-269.972;-347.212;77.2402;-347.212;-979.884;632.672;-979.884;-1164.95;185.066;-1164.95;-2000;835.05;
780;1980;-1;-1;-289.672;288.672;-289.672;-365.645;75.9728;-365.645;-995.388;629.743;-995.388;-1180.33;184.942;-1180.33;-2000;819.671;
820;1980;-1;-1;-307.801;306.801;-307.801;-382.273;74.4717;-382.273;-1008.46;626.186;-1008.46;-1195.07;186.613;-1195.07;-2000;804.928;
860;1980;-1;-1;-324.416;323.416;-324.416;-397.226;72.8104;-397.226;-1019.82;622.598;-1019.82;-1208.99;189.164;-1208.99;-2000;791.011;
900;1980;-1;-1;-339.636;338.636;-339.636;-410.68;71.0438;-410.68;-1029.74;619.056;-1029.74;-1221.66;191.922;-1221.66;-2000;778.342;
940;1980;-1;-1;-353.627;352.627;-353.627;-422.9;69.2729;-422.9;-1038.07;615.168;-1038.07;-1232.72;194.654;-1232.72;-2000;767.278;
980;1980;-1;-1;-366.585;365.585;-366.585;-434.148;67.5627;-434.148;-1044.13;609.98;-1044.13;-1242.41;198.278;-1242.41;-2000;757.594;
1020;1980;-1;-1;-378.712;377.712;-378.712;-444.687;65.9751;-444.687;-1047.21;602.525;-1047.21;-1252.21;205.003;-1252.21;-2000;747.786;
1060;1980;-1;-1;-390.212;389.212;-390.212;-454.76;64.5482;-454.76;-1047.12;592.364;-1047.12;-1262.32;215.197;-1262.32;-2000;737.679;
1100;1980;-1;-1;-401.235;400.235;-401.235;-464.571;63.3353;-464.571;-1044.67;580.099;-1044.67;-1271.17;226.496;-1271.17;-2000;728.834;
1140;1980;-1;-1;-411.949;410.949;-411.949;-474.276;62.3274;-474.276;-1041.51;567.23;-1041.51;-1278.25;236.747;-1278.25;-2000;721.747;
1180;1980;-1;-1;-422.45;421.45;-422.45;-483.984;61.5338;-483.984;-1039.21;555.228;-1039.21;-1283.67;244.457;-1283.67;-2000;716.331;
1220;1980;-1;-1;-432.805;431.805;-432.805;-493.75;60.9446;-493.75;-1038.11;544.361;-1038.11;-1287.65;249.54;-1287.65;-2000;712.349;
1260;1980;-1;-1;-443.04;442.04;-443.04;-503.582;60.5416;-503.582;-1038.19;534.603;-1038.19;-1290.45;252.267;-1290.45;-2000;709.548;
1300;1980;-1;-1;-453.142;452.142;-453.142;-513.442;60.2999;-513.442;-1039.37;525.924;-1039.37;-1292.28;252.919;-1292.28;-2000;707.715;
1340;1980;-1;-1;-463.061;462.061;-463.061;-523.251;60.1903;-523.251;-1041.23;517.975;-1041.23;-1293.3;252.074;-1293.3;-2000;706.699;
1380;1980;-1;-1;-472.713;471.713;-472.713;-532.894;60.1812;-532.894;-1043.43;510.538;-1043.43;-1293.59;250.156;-1293.59;-2000;706.412;
1420;1980;-1;-1;-481.987;480.987;-481.987;-542.227;60.2399;-542.227;-1045.66;503.432;-1045.66;-1293.17;247.512;-1293.17;-2000;706.829;
1460;1980;-1;-1;-490.747;489.747;-490.747;-551.082;60.3348;-551.082;-1047.61;496.523;-1047.61;-1292.02;244.417;-1292.02;-2000;707.978;
1500;1980;-1;-1;-498.842;497.842;-498.842;-559.279;60.4368;-559.279;-1049;489.717;-1049;-1290.07;241.071;-1290.07;-2000;709.934;
1540;1980;-1;-1;-506.108;505.108;-506.108;-566.628;60.5206;-566.628;-1049.58;482.952;-1049.58;-1287.2;237.617;-1287.2;-2000;712.803;
1580;1980;-1;-1;-512.379;511.379;-512.379;-572.944;60.5654;-572.944;-1049.13;476.19;-1049.13;-1283.28;234.15;-1283.28;-2000;716.715;
1620;1980;-1;-1;-517.494;516.494;-517.494;-578.049;60.5555;-578.049;-1047.47;469.422;-1047.47;-1278.19;230.716;-1278.19;-2000;721.812;
1660;1980;-1;-1;-521.301;520.301;-521.301;-581.781;60.4801;-581.781;-1044.41;462.633;-1044.41;-1271.76;227.348;-1271.76;-2000;728.238;
1700;1980;-1;-1;-523.669;522.669;-523.669;-584.003;60.3333;-584.003;-1039.82;455.821;-1039.82;-1263.87;224.048;-1263.87;-2000;736.129;
1740;1980;-1;-1;-524.489;523.489;-524.489;-584.602;60.1133;-584.602;-1033.59;448.988;-1033.59;-1254.39;220.803;-1254.39;-2000;745.607;
1780;1980;-1;-1;-523.677;522.677;-523.677;-583.499;59.8216;-583.499;-1025.64;442.14;-1025.64;-1243.23;217.591;-1243.23;-2000;756.77;
1820;1980;-1;-1;-521.185;520.185;-521.185;-580.648;59.4625;-580.648;-1015.93;435.283;-1015.93;-1230.31;214.383;-1230.31;-2000;769.686;
1860;1980;-1;-1;-516.994;515.994;-516.994;-576.036;59.0423;-576.036;-1004.46;428.425;-1004.46;-1215.61;211.146;-1215.61;-2000;784.393;
1900;1980;-1;-1;-511.117;510.117;-511.117;-569.686;58.5687;-569.686;-991.277;421.591;-991.277;-1199.13;207.855;-1199.13;-2000;800.868;
1940;1980;-1;-1;-503.599;502.599;-503.599;-561.649;58.0501;-561.649;-976.412;414.763;-976.412;-1180.93;204.515;-1180.93;-2000;819.073;
1980;1980;-1;-1;-494.512;493.512;-494.512;-552.007;57.4952;-552.007;-960.002;407.995;-960.002;-1161.08;201.077;-1161.08;-2000;838.921;
20;1940;-1;-1;-1;0;-1;-1;0;-1;-396.869;395.869;-396.869;-664.314;267.445;-664.314;-2000;1335.69;
60;1940;-1;-1;-1;0;-1;-1;0;-1;-425.515;424.515;-425.515;-695.858;270.343;-695.858;-2000;1304.14;
100;1940;-1;-1;-1;0;-1;-1;0;-1;-456.268;455.268;-456.268;-728.734;272.466;-728.734;-2000;1271.27;
140;1940;-1;-1;-1;0;-1;-1;0;-1;-489.003;488.003;-489.003;-762.59;273.587;-762.59;-2000;1237.41;
180;1940;-1;-1;-1;0;-1;-1;0;-1;-523.546;522.546;-523.546;-797.032;273.486;-797.032;-2000;1202.97;
220;1940;-1;-1;-1;0;-1;-1;0;-1;-559.661;558.661;-559.661;-831.624;271.963;-831.624;-2000;1168.38;
260;1940;-1;-1;-1;0;-1;-20.9049;19.9049;-20.9049;-597.044;576.139;-597.044;-865.979;268.936;-865.979;-2000;1134.02;
300;1940;-1;-1;-1;0;-1;-47.456;46.456;-47.456;-635.318;587.862;-635.318;-899.706;264.388;-899.706;-2000;1100.29;
340;1940;-1;-1;-1;0;-1;-74.9388;73.9388;-74.9388;-674.057;599.118;-674.057;-932.446;258.389;-932.446;-2000;1067.55;
380;1940;-1;-1;-28.149;27.149;-28.149;-103.151;75.002;-103.151;-712.785;609.634;-712.785;-963.897;251.112;-963.897;-2000;1036.1;
420;1940;-1;-1;-55.8749;54.8749;-55.8749;-131.853;75.9779;-131.853;-750.997;619.145;-750.997;-993.822;242.825;-993.822;-2000;1006.18;
460;1940;-1;-1;-83.934;82.934;-83.934;-160.768;76.8341;-160.768;-788.191;627.423;-788.191;-1022.04;233.845;-1022.04;-2000;977.965;
500;1940;-1;-1;-112.061;111.061;-112.061;-189.591;77.5301;-189.591;-823.82;634.229;-823.82;-1048.48;224.658;-1048.48;-2000;951.522;
540;1940;-1;-1;-139.968;138.968;-139.968;-217.999;78.0303;-217.999;-857.661;639.663;-857.661;-1073.11;215.449;-1073.11;-2000;926.889;
580;1940;-1;-1;-167.361;166.361;-167.361;-245.659;78.2976;-245.659;-889.181;643.523;-889.181;-1095.96;206.774;-1095.96;-2000;904.045;
620;1940;-1;-1;-193.965;192.965;-193.965;-272.242;78.2775;-272.242;-918.151;645.909;-918.151;-1117.11;198.961;-1117.11;-2000;882.888;
660;1940;-1;-1;-219.462;218.462;-219.462;-297.45;77.9871;-297.45;-944.349;646.9;-944.349;-1136.78;192.426;-1136.78;-2000;863.224;
700;1940;-1;-1;-243.671;242.671;-243.671;-321.031;77.3602;-321.031;-967.615;646.584;-967.615;-1155.25;187.637;-1155.25;-2000;844.748;
740;1940;-1;-1;-266.396;265.396;-266.396;-342.811;76.4154;-342.811;-987.952;645.141;-987.952;-1172.95;184.998;-1172.95;-2000;827.05;
780;1940;-1;-1;-287.528;286.528;-287.528;-362.705;75.1763;-362.705;-1005.39;642.688;-1005.39;-1190.3;184.903;-1190.3;-2000;809.705;
820;1940;-1;-1;-307.036;306.036;-307.036;-380.726;73.6896;-380.726;-1020.58;639.854;-1020.58;-1207.52;186.944;-1207.52;-2000;792.475;
860;1940;-1;-1;-324.965;323.965;-324.965;-396.996;72.0307;-396.996;-1034.24;637.24;-1034.24;-1224.46;190.225;-1224.46;-2000;775.539;
900;1940;-1;-1;-341.43;340.43;-341.43;-411.687;70.2562;-411.687;-1047.69;636.005;-1047.69;-1240.56;192.87;-1240.56;-2000;759.438;
940;1940;-1;-1;-356.6;355.6;-356.6;-425.074;68.4739;-425.074;-1061.27;636.199;-1061.27;-1255.34;194.066;-1255.34;-2000;744.661;
980;1940;-1;-1;-370.678;369.678;-370.678;-437.432;66.7541;-437.432;-1073.32;635.892;-1073.32;-1268.81;195.484;-1268.81;-2000;731.192;
1020;1940;-1;-1;-383.891;382.891;-383.891;-449.042;65.151;-449.042;-1079.83;630.79;-1079.83;-1281.27;201.441;-1281.27;-2000;718.727;
1060;1940;-1;-1;-396.415;395.415;-396.415;-460.167;63.7518;-460.167;-1079.42;619.258;-1079.42;-1292.09;212.667;-1292.09;-2000;707.908;
1100;1940;-1;-1;-408.47;407.47;-408.47;-471.028;62.5581;-471.028;-1075.28;604.252;-1075.28;-1300.89;225.607;-1300.89;-2000;699.112;
1140;1940;-1;-1;-420.207;419.207;-420.207;-481.801;61.5941;-481.801;-1070.91;589.11;-1070.91;-1307.8;236.888;-1307.8;-2000;692.201;
1180;1940;-1;-1;-431.742;430.742;-431.742;-492.605;60.8623;-492.605;-1067.66;575.053;-1067.66;-1313.1;245.438;-1313.1;-2000;686.904;
1220;1940;-1;-1;-443.152;442.152;-443.152;-503.506;60.3536;-503.506;-1066.3;562.791;-1066.3;-1317.06;250.765;-1317.06;-2000;682.939;
1260;1940;-1;-1;-454.467;453.467;-454.467;-514.515;60.0482;-514.515;-1066.52;552.009;-1066.52;-1319.95;253.422;-1319.95;-2000;680.053;
1300;1940;-1;-1;-465.676;464.676;-465.676;-525.594;59.9186;-525.594;-1067.99;542.392;-1067.99;-1321.95;253.964;-1321.95;-2000;678.05;
1340;1940;-1;-1;-476.726;475.726;-476.726;-536.658;59.9319;-536.658;-1070.24;533.579;-1070.24;-1323.21;252.972;-1323.21;-2000;676.791;
1380;1940;-1;-1;-487.527;486.527;-487.527;-547.579;60.0516;-547.579;-1072.93;525.349;-1072.93;-1323.79;250.866;-1323.79;-2000;676.206;
1420;1940;-1;-1;-497.955;496.955;-497.955;-558.195;60.24;-558.195;-1075.64;517.446;-1075.64;-1323.71;248.074;-1323.71;-2000;676.285;
1460;1940;-1;-1;-507.859;506.859;-507.859;-568.319;60.4599;-568.319;-1078.05;509.727;-1078.05;-1322.93;244.88;-1322.93;-2000;677.073;
1500;1940;-1;-1;-517.067;516.067;-517.067;-577.744;60.6772;-577.744;-1079.85;502.103;-1079.85;-1321.34;241.491;-1321.34;-2000;678.661;
1540;1940;-1;-1;-525.395;524.395;-525.395;-586.257;60.8621;-586.257;-1080.78;494.522;-1080.78;-1318.83;238.047;-1318.83;-2000;681.174;
1580;1940;-1;-1;-532.653;531.653;-532.653;-593.658;61.0058;-593.658;-1080.6;486.943;-1080.6;-1315.24;234.636;-1315.24;-2000;684.762;
1620;1940;-1;-1;-538.656;537.656;-538.656;-599.702;61.0456;-599.702;-1079.1;479.398;-1079.1;-1310.41;231.312;-1310.41;-2000;689.589;
1660;1940;-1;-1;-543.233;542.233;-543.233;-604.247;61.0148;-604.247;-1076.1;471.85;-1076.1;-1304.18;228.081;-1304.18;-2000;695.822;
1700;1940;-1;-1;-546.231;545.231;-546.231;-607.125;60.8937;-607.125;-1071.43;464.307;-1071.43;-1296.38;224.947;-1296.38;-2000;703.62;
1740;1940;-1;-1;-547.528;546.528;-547.528;-608.209;60.6808;-608.209;-1064.98;456.776;-1064.98;-1286.87;221.886;-1286.87;-2000;713.13;
1780;1940;-1;-1;-547.031;546.031;-547.031;-607.41;60.3797;-607.41;-1056.67;449.256;-1056.67;-1275.53;218.862;-1275.53;-2000;724.472;
1820;1940;-1;-1;-544.685;543.685;-544.685;-604.682;59.9975;-604.682;-1046.43;441.747;-1046.43;-1262.27;215.838;-1262.27;-2000;737.732;
1860;1940;-1;-1;-540.472;539.472;-540.472;-600.016;59.5441;-600.016;-1034.28;434.26;-1034.28;-1247.04;212.765;-1247.04;-2000;752.959;
1900;1940;-1;-1;-534.412;533.412;-534.412;-593.445;59.0338;-593.445;-1020.24;426.797;-1020.24;-1229.84;209.601;-1229.84;-2000;770.157;
1940;1940;-1;-1;-526.559;525.559;-526.559;-585.031;58.4719;-585.031;-1004.41;419.374;-1004.41;-1210.74;206.332;-1210.74;-2000;789.262;
1980;1940;-1;-1;-517;516;-517;-574.854;57.8546;-574.854;-986.902;412.048;-986.902;-1189.81;202.913;-1189.81;-2000;810.185;
20;1900;-1;-1;-1;0;-1;-1;0;-1;-364.817;363.817;-364.817;-634.451;269.634;-634.451;-2000;1365.55;
60;1900;-1;-1;-1;0;-1;-1;0;-1;-393.786;392.786;-393.786;-667.381;273.594;-667.381;-2000;1332.62;
100;1900;-1;-1;-1;0;-1;-1;0;-1;-424.979;423.979;-424.979;-701.915;276.936;-701.915;-2000;1298.08;
140;1900;-1;-1;-1;0;-1;-1;0;-1;-458.363;457.363;-458.363;-737.689;279.327;-737.689;-2000;1262.31;
180;1900;-1;-1;-1;0;-1;-1;0;-1;-493.775;492.775;-493.775;-774.276;280.5;-774.276;-2000;1225.72;
220;1900;-1;-1;-1;0;-1;-1;0;-1;-531.011;530.011;-531.011;-811.197;280.186;-811.197;-2000;1188.8;
260;1900;-1;-1;-1;0;-1;-1.32366;0.323663;-1.32366;-569.793;568.47;-569.793;-847.973;278.18;-847.973;-2000;1152.03;
300;1900;-1;-1;-1;0;-1;-28.5476;27.5476;-28.5476;-609.753;581.205;-609.753;-884.171;274.418;-884.171;-2000;1115.83;
340;1900;-1;-1;-1;0;-1;-56.8013;55.8013;-56.8013;-650.508;593.706;-650.508;-919.366;268.858;-919.366;-2000;1080.63;
380;1900;-1;-1;-12.3165;11.3165;-12.3165;-85.8876;73.5711;-85.8876;-691.526;605.638;-691.526;-953.195;261.669;-953.195;-2000;1046.81;
420;1900;-1;-1;-41.004;40.004;-41.004;-115.569;74.5652;-115.569;-732.286;616.717;-732.286;-985.373;253.087;-985.373;-2000;1014.63;
460;1900;-1;-1;-70.1236;69.1236;-70.1236;-145.57;75.4463;-145.57;-772.23;626.66;-772.23;-1015.68;243.453;-1015.68;-2000;984.317;
500;1900;-1;-1;-99.406;98.406;-99.406;-175.579;76.1735;-175.579;-810.771;635.192;-810.771;-1044.04;233.267;-1044.04;-2000;955.962;
540;1900;-1;-1;-128.558;127.558;-128.558;-205.264;76.7068;-205.264;-847.509;642.245;-847.509;-1070.41;222.898;-1070.41;-2000;929.593;
580;1900;-1;-1;-157.271;156.271;-157.271;-234.283;77.012;-234.283;-881.928;647.645;-881.928;-1094.81;212.882;-1094.81;-2000;905.19;
620;1900;-1;-1;-185.241;184.241;-185.241;-262.292;77.0508;-262.292;-913.7;651.408;-913.7;-1117.36;203.66;-1117.36;-2000;882.64;
660;1900;-1;-1;-212.18;211.18;-212.18;-288.97;76.79;-288.97;-942.535;653.564;-942.535;-1138.29;195.755;-1138.29;-2000;861.71;
700;1900;-1;-1;-237.838;236.838;-237.838;-314.046;76.2082;-314.046;-968.188;654.142;-968.188;-1157.99;189.8;-1157.99;-2000;842.012;
740;1900;-1;-1;-262.013;261.013;-262.013;-337.318;75.3053;-337.318;-990.566;653.247;-990.566;-1177.03;186.462;-1177.03;-2000;822.972;
780;1900;-1;-1;-284.576;283.576;-284.576;-358.678;74.1019;-358.678;-1009.51;650.828;-1009.51;-1196.11;186.604;-1196.11;-2000;803.89;
820;1900;-1;-1;-305.477;304.477;-305.477;-378.12;72.6427;-378.12;-1025.88;647.756;-1025.88;-1215.75;189.879;-1215.75;-2000;784.245;
860;1900;-1;-1;-324.747;323.747;-324.747;-395.752;71.0056;-395.752;-1040.84;645.086;-1040.84;-1235.86;195.021;-1235.86;-2000;764.141;
900;1900;-1;-1;-342.492;341.492;-342.492;-411.733;69.2402;-411.733;-1056.24;644.503;-1056.24;-1255.7;199.468;-1255.7;-2000;744.296;
940;1900;-1;-1;-358.881;357.881;-358.881;-426.347;67.4661;-426.347;-1073.9;647.553;-1073.9;-1274.58;200.681;-1274.58;-2000;725.418;
980;1900;-1;-1;-374.121;373.121;-374.121;-439.876;65.7549;-439.876;-1091.5;651.623;-1091.5;-1291.89;200.395;-1291.89;-2000;708.106;
1020;1900;-1;-1;-388.447;387.447;-388.447;-452.617;64.1701;-452.617;-1101.26;648.639;-1101.26;-1306.27;205.014;-1306.27;-2000;693.73;
1060;1900;-1;-1;-402.055;401.055;-402.055;-464.847;62.7921;-464.847;-1101.6;636.749;-1101.6;-1317.31;215.718;-1317.31;-2000;682.686;
1100;1900;-1;-1;-415.175;414.175;-415.175;-476.808;61.6329;-476.808;-1098;621.192;-1098;-1326.01;228.008;-1326.01;-2000;673.992;
1140;1900;-1;-1;-427.972;426.972;-427.972;-488.692;60.7207;-488.692;-1093.97;605.273;-1093.97;-1332.87;238.903;-1332.87;-2000;667.132;
1180;1900;-1;-1;-440.575;439.575;-440.575;-500.634;60.0592;-500.634;-1091.48;590.843;-1091.48;-1338.25;246.769;-1338.25;-2000;661.754;
1220;1900;-1;-1;-453.071;452.071;-453.071;-512.711;59.6392;-512.711;-1090.84;578.134;-1090.84;-1342.43;251.581;-1342.43;-2000;657.575;
1260;1900;-1;-1;-465.501;464.501;-465.501;-524.941;59.4403;-524.941;-1091.98;567.037;-1091.98;-1345.64;253.662;-1345.64;-2000;654.36;
1300;1900;-1;-1;-477.855;476.855;-477.855;-537.288;59.4331;-537.288;-1094.35;557.06;-1094.35;-1348.07;253.719;-1348.07;-2000;651.932;
1340;1900;-1;-1;-490.081;489.081;-490.081;-549.662;59.5814;-549.662;-1097.47;547.804;-1097.47;-1349.82;252.358;-1349.82;-2000;650.175;
1380;1900;-1;-1;-502.082;501.082;-502.082;-561.926;59.8441;-561.926;-1100.97;539.048;-1100.97;-1350.96;249.99;-1350.96;-2000;649.036;
1420;1900;-1;-1;-513.722;512.722;-513.722;-573.9;60.1778;-573.9;-1104.44;530.538;-1104.44;-1351.48;247.04;-1351.48;-2000;648.522;
1460;1900;-1;-1;-524.836;523.836;-524.836;-585.375;60.5393;-585.375;-1107.52;522.149;-1107.52;-1351.3;243.781;-1351.3;-2000;648.695;
1500;1900;-1;-1;-535.229;534.229;-535.229;-596.129;60.8998;-596.129;-1109.93;513.8;-1109.93;-1350.34;240.407;-1350.34;-2000;649.664;
1540;1900;-1;-1;-544.695;543.695;-544.695;-605.885;61.1905;-605.885;-1111.38;505.495;-1111.38;-1348.43;237.046;-1348.43;-2000;651.574;
1580;1900;-1;-1;-553.016;552.016;-553.016;-614.434;61.4176;-614.434;-1111.63;497.192;-1111.63;-1345.41;233.779;-1345.41;-2000;654.595;
1620;1900;-1;-1;-559.983;558.983;-559.983;-621.531;61.5483;-621.531;-1110.44;488.909;-1110.44;-1341.09;230.646;-1341.09;-2000;658.913;
1660;1900;-1;-1;-565.397;564.397;-565.397;-626.968;61.5703;-626.968;-1107.62;480.654;-1107.62;-1335.28;227.659;-1335.28;-2000;664.72;
1700;1900;-1;-1;-569.086;568.086;-569.086;-630.564;61.4784;-630.564;-1103;472.438;-1103;-1327.8;224.796;-1327.8;-2000;672.201;
1740;1900;-1;-1;-570.907;569.907;-570.907;-632.181;61.2742;-632.181;-1096.44;464.261;-1096.44;-1318.47;222.029;-1318.47;-2000;681.529;
1780;1900;-1;-1;-570.756;569.756;-570.756;-631.72;60.9638;-631.72;-1087.84;456.122;-1087.84;-1307.15;219.31;-1307.15;-2000;692.849;
1820;1900;-1;-1;-568.573;567.573;-568.573;-629.13;60.5571;-629.13;-1077.14;448.011;-1077.14;-1293.73;216.587;-1293.73;-2000;706.272;
1860;1900;-1;-1;-564.34;563.34;-564.34;-624.406;60.0661;-624.406;-1064.34;439.936;-1064.34;-1278.14;213.793;-1278.14;-2000;721.865;
1900;1900;-1;-1;-558.083;557.083;-558.083;-617.587;59.504;-617.587;-1049.48;431.898;-1049.48;-1260.36;210.876;-1260.36;-2000;739.639;
1940;1900;-1;-1;-549.87;548.87;-549.87;-608.755;58.8851;-608.755;-1032.66;423.904;-1032.66;-1240.45;207.786;-1240.45;-2000;759.554;
1980;1900;-1;-1;-539.803;538.803;-539.803;-598.025;58.2226;-598.025;-1014;415.978;-1014;-1218.51;204.504;-1218.51;-2000;781.492;
20;1860;-1;-1;-1;0;-1;-1;0;-1;-331.992;330.992;-331.992;-601.857;269.864;-601.857;-2000;1398.14;
60;1860;-1;-1;-1;0;-1;-1;0;-1;-361.007;360.007;-361.007;-635.864;274.857;-635.864;-2000;1364.14;
100;1860;-1;-1;-1;0;-1;-1;0;-1;-392.42;391.42;-392.42;-671.771;279.352;-671.771;-2000;1328.23;
140;1860;-1;-1;-1;0;-1;-1;0;-1;-426.096;425.096;-426.096;-709.218;283.123;-709.218;-2000;1290.78;
180;1860;-1;-1;-1;0;-1;-1;0;-1;-462.002;461.002;-462.002;-747.76;285.758;-747.76;-2000;1252.24;
220;1860;-1;-1;-1;0;-1;-1;0;-1;-499.935;498.935;-499.935;-786.886;286.951;-786.886;-2000;1213.11;
260;1860;-1;-1;-1;0;-1;-1;0;-1;-539.651;538.651;-539.651;-826.031;286.381;-826.031;-2000;1173.97;
300;1860;-1;-1;-1;0;-1;-10.1175;9.11748;-10.1175;-580.826;570.708;-580.826;-864.69;283.864;-864.69;-2000;1135.31;
340;1860;-1;-1;-1;0;-1;-39.0517;38.0517;-39.0517;-623.058;584.007;-623.058;-902.376;279.317;-902.376;-2000;1097.62;
380;1860;-1;-1;-1;0;-1;-68.9161;67.9161;-68.9161;-665.87;596.954;-665.87;-938.651;272.781;-938.651;-2000;1061.35;
420;1860;-1;-1;-26.2344;25.2344;-26.2344;-99.4767;73.2423;-99.4767;-708.718;609.242;-708.718;-973.163;264.445;-973.163;-2000;1026.84;
460;1860;-1;-1;-56.3215;55.3215;-56.3215;-130.458;74.1366;-130.458;-751.015;620.557;-751.015;-1005.66;254.64;-1005.66;-2000;994.344;
500;1860;-1;-1;-86.6661;85.6661;-86.6661;-161.547;74.8812;-161.547;-792.155;630.607;-792.155;-1035.98;243.823;-1035.98;-2000;964.022;
540;1860;-1;-1;-116.969;115.969;-116.969;-192.429;75.4603;-192.429;-831.546;639.117;-831.546;-1064.12;232.573;-1064.12;-2000;935.881;
580;1860;-1;-1;-146.914;145.914;-146.914;-222.673;75.7599;-222.673;-868.687;646.014;-868.687;-1090.09;221.399;-1090.09;-2000;909.914;
620;1860;-1;-1;-176.181;175.181;-176.181;-252.004;75.8234;-252.004;-903.136;651.132;-903.136;-1113.99;210.855;-1113.99;-2000;886.008;
660;1860;-1;-1;-204.468;203.468;-204.468;-280.058;75.5907;-280.058;-934.516;654.457;-934.516;-1136.08;201.568;-1136.08;-2000;863.916;
700;1860;-1;-1;-231.506;230.506;-231.506;-306.544;75.0382;-306.544;-962.499;655.955;-962.499;-1156.8;194.304;-1156.8;-2000;843.196;
740;1860;-1;-1;-257.077;256.077;-257.077;-331.24;74.1627;-331.24;-986.771;655.532;-986.771;-1176.86;190.092;-1176.86;-2000;823.137;
780;1860;-1;-1;-281.032;280.032;-281.032;-354.008;72.9764;-354.008;-1007.02;653.015;-1007.02;-1197.27;190.252;-1197.27;-2000;802.725;
820;1860;-1;-1;-303.298;302.298;-303.298;-374.839;71.5413;-374.839;-1023.44;648.602;-1023.44;-1219.02;195.576;-1219.02;-2000;780.983;
860;1860;-1;-1;-323.901;322.901;-323.901;-393.805;69.9033;-393.805;-1037.53;643.722;-1037.53;-1242.07;204.544;-1242.07;-2000;757.929;
900;1860;-1;-1;-342.936;341.936;-342.936;-411.082;68.1454;-411.082;-1049.94;638.855;-1049.94;-1265.26;215.326;-1265.26;-2000;734.737;
940;1860;-1;-1;-360.567;359.567;-360.567;-426.934;66.3668;-426.934;-1066.82;639.882;-1066.82;-1287.33;220.511;-1287.33;-2000;712.673;
980;1860;-1;-1;-377.007;376.007;-377.007;-441.654;64.6467;-441.654;-1086.38;644.73;-1086.38;-1306.96;220.572;-1306.96;-2000;693.044;
1020;1860;-1;-1;-392.48;391.48;-392.48;-455.55;63.0705;-455.55;-1100.13;644.581;-1100.13;-1322.82;222.692;-1322.82;-2000;677.178;
